"Restaurant Depot 707 ,  "
,"EIGHTYTWENTY LLC"
,"2511S.,GEORGIA"
,"AMARILLO, TX 791019999           "
"Invoice 18084","Terminal 11 - 06/05/2023 4:51 pm"
UPC,Description,UnitQty,CaseQty,Price
-2,"Previous Balance",0,0,$0.00
85530300805,"GLOVE NITRILE MED        ",0,1,$40.32
85530300805,"GLOVE NITRILE MED        ",0,1,$40.32
7127038559,"QUINOA WHITE       5#    ",0,1,$23.63
7127038559,"QUINOA WHITE       5#    ",0,1,$23.63
7127038559,"QUINOA WHITE       5#    ",0,1,$23.63
61070809790,"PD HRB DILL 1LB          ",1,0,$6.67
20798350000,"BF INS RND XT SEL  R/W   ",65.7,0,$229.29
20798350000,"BF INS RND XT SEL  R/W   ",65.7,0,-$13.14
20795030000,"CHX HAL LEG QTR SM       ",40,0,$29.60
20795010000,"CHX HAL BRST JMB         ",40,0,$69.20
20795010000,"CHX HAL BRST JMB         ",40,0,$69.20
20795010000,"CHX HAL BRST JMB         ",40,0,$69.20
20795030000,"CHX HAL LEG QTR SM       ",40,0,$29.60
20795010000,"CHX HAL BRST JMB         ",40,0,$69.20
20795010000,"CHX HAL BRST JMB         ",40,0,$69.20
20795010000,"CHX HAL BRST JMB         ",40,0,$69.20
20795010000,"CHX HAL BRST JMB         ",40,0,$69.20
20795010000,"CHX HAL BRST JMB         ",-40,0,-$69.20
20795010000,"CHX HAL BRST JMB         ",40,0,$69.20
61070809790,"PD HRB DILL 1LB          ",-1,0,-$6.67
61070809790,"PD HRB DILL 1LB          ",1,0,$6.67
61070809790,"PD HRB DILL 1LB          ",0,35,-$2.33
81383101614,"PD GRNS COLLARD 24       ",1,0,$32.48
81383101614,"PD GRNS COLLARD 24       ",0,50,-$16.24
20798350000,"BF INS RND XT SEL  R/W   ",83.2,0,$273.73
2060059143,"PD CARROT JMBO 25#       ",1,0,$9.95
2060042750,"PD SQUASH ITALN MD       ",1,0,$13.64
2060042750,"PD SQUASH ITALN MD       ",1,0,$13.64
2060042750,"PD SQUASH ITALN MD       ",1,0,$13.64
2060042791,"PD BROC CROWNS DW        ",1,0,$25.72
2060042791,"PD BROC CROWNS DW        ",1,0,$25.72
2060042791,"PD BROC CROWNS DW        ",1,0,$25.72
2060042791,"PD BROC CROWNS DW        ",1,0,$25.72
2060042750,"PD SQUASH ITALN MD       ",1,0,$13.64
2060042750,"PD SQUASH ITALN MD       ",1,0,$13.64
76335203030,"WINE CKING SHERRY  4/1GL ",0,1,$20.58
9492247024,"GRAPESEED OIL 100%       ",0,1,$94.72
2060080007,"PD POTATO RED A #2       ",1,0,$28.43
2060080007,"PD POTATO RED A #2       ",1,0,$28.43
85106300214,"PD YAM JEWEL JBO         ",1,0,$16.99
2060042545,"PD ONION YEL JBO         ",1,0,$22.50
2060042625,"PD CABB GREEN SACK       ",1,0,$19.99
20798350000,"BF INS RND XT SEL  R/W   ",-65.7,0,-$216.15
0,Sub-Total,0,0,"$1,402.11"
0,Tax,0,0,$120.93
0,Total,0,0,"$1,523.04"
0,"DEBIT    6866",0,0,"$1,523.04"
0,Balance,0,0,$0.00
