Date,Total
2023-01-06,$0.00
2023-01-11,$0.00
2023-01-17,$0.00
2023-01-25,$0.00
2023-01-29,$0.00
2023-02-07,$0.00
2023-02-10,$0.00
2023-02-18,$0.00
2023-02-27,$0.00
2023-03-05,$0.00
2023-03-07,$0.00
2023-03-10,$0.00
2023-03-20,$0.00
2023-03-27,$0.00
2023-04-04,$0.00
2023-04-11,$0.00
2023-04-17,$0.00
2023-04-24,$0.00
2023-04-26,$0.00
2023-04-30,$0.00
2023-05-08,$0.00
2023-05-16,$0.00
2023-05-23,$0.00
2023-05-30,$0.00
2023-06-05,$0.00
2023-06-13,$0.00
2023-06-21,$0.00
2023-06-24,$0.00
2023-07-15,$0.00
2023-07-21,$0.00
2023-07-25,$0.00
2023-07-29,$0.00
2023-08-01,$0.00
2023-08-08,$0.00
2023-08-11,$0.00
2023-08-16,$0.00
2023-08-23,$0.00
2023-08-29,$0.00
2023-09-06,$0.00
2023-09-12,$0.00
2023-09-19,$0.00
2023-09-27,$0.00
2023-10-03,$0.00
2023-10-10,$0.00
2023-10-17,$0.00
2023-10-24,$0.00
2023-10-31,$0.00
2023-11-07,$0.00
2023-11-24,$0.00
2023-11-28,$0.00
2023-12-05,$0.00
2023-12-12,$0.00
2023-12-19,$0.00
2023-12-26,$0.00
2024-01-02,$0.00
2024-01-09,$0.00
2024-01-12,$0.00
2024-01-16,$0.00
2024-01-22,$0.00
2024-01-30,$0.00
2024-02-05,$0.00
2024-02-10,$0.00
2024-02-20,$0.00
2024-02-26,$0.00
2024-03-05,$0.00
2024-03-19,$0.00
2024-03-26,$0.00
2024-04-01,$0.00
2024-04-05,$0.00
2024-04-09,$0.00
2024-04-15,$0.00
2024-04-22,$0.00
2024-04-29,$0.00
2024-05-06,$0.00
Grand Total,$0.00
